,country,Lat,Long_,confirmed,deaths,recovered,active,mortality,ISO3
0,Afghanistan,33.93911,67.709953,47306.0,1874.0,37685.0,7747.0,3.9614425231471695,AFG
1,Albania,41.1533,20.1683,42988.0,905.0,21617.0,20466.0,2.105238671257095,ALB
2,Algeria,28.0339,1.6596,88252.0,2516.0,57146.0,28590.0,2.8509268911752708,DZA
3,Andorra,42.5063,1.5218,7050.0,78.0,6238.0,734.0,1.1063829787234043,AND
4,Angola,-11.2027,17.8739,15591.0,354.0,8338.0,6899.0,2.270540696555705,AGO
5,Antigua and Barbuda,17.0608,-61.7964,144.0,4.0,133.0,7.0,2.7777777777777777,ATG
6,Argentina,-38.4161,-63.6167,1463110.0,39770.0,1294692.0,128648.0,2.718182501657428,ARG
7,Armenia,40.0691,45.0382,141937.0,2326.0,116796.0,22815.0,1.6387552223873971,ARM
8,Australia,-25.0,133.0,27972.0,908.0,25642.0,1422.0,3.2461032461032464,AUS
9,Austria,47.5162,14.5501,303430.0,3840.0,252765.0,46825.0,1.2655307649210692,AUT
10,Azerbaijan,40.1431,47.5769,146679.0,1632.0,88497.0,56550.0,1.1126337103470845,AZE
11,Bahamas,25.025885,-78.035889,7570.0,163.0,5995.0,1412.0,2.153236459709379,BHS
12,Bahrain,26.0275,50.55,87930.0,341.0,86030.0,1559.0,0.38780848402138063,BHR
13,Bangladesh,23.685,90.3563,477545.0,6838.0,395960.0,74747.0,1.4319069407071583,BGD
14,Barbados,13.1939,-59.5432,285.0,7.0,260.0,18.0,2.456140350877193,BRB
15,Belarus,53.7098,27.9534,147157.0,1207.0,124774.0,21176.0,0.8202124261842794,BLR
16,Belgium,50.8333,4.469936,591756.0,17320.0,,574436.0,2.926882025699782,BEL
17,Belize,17.1899,-88.4976,7769.0,173.0,3849.0,3747.0,2.22679881580641,BLZ
18,Benin,9.3077,2.3158,3055.0,44.0,2907.0,104.0,1.440261865793781,BEN
19,Bhutan,27.5142,90.4336,430.0,0.0,388.0,42.0,0.0,BTN
20,Bolivia,-16.2902,-63.5887,145560.0,8995.0,124799.0,11766.0,6.179582302830447,BOL
21,Bosnia and Herzegovina,43.9159,17.6791,94507.0,2952.0,58625.0,32930.0,3.1235781476504387,BIH
22,Botswana,-22.3285,24.6849,11531.0,34.0,8978.0,2519.0,0.29485734108056544,BWA
23,Brazil,-14.235,-51.9253,6603540.0,176941.0,5866657.0,559942.0,2.679487062999543,BRA
24,Brunei,4.5353,114.7277,151.0,3.0,147.0,1.0,1.9867549668874167,BRN
25,Bulgaria,42.7339,25.4858,161421.0,4797.0,62246.0,94378.0,2.971732302488524,BGR
26,Burkina Faso,12.2383,-1.5616,3212.0,68.0,2711.0,433.0,2.1170610211706102,BFA
27,Burma,21.9162,95.956,99155.0,2110.0,77636.0,19409.0,2.1279814431949977,MMR
28,Burundi,-3.3731,29.9189,694.0,1.0,575.0,118.0,0.1440922190201729,BDI
29,Cabo Verde,16.5388,-23.0418,11063.0,109.0,10596.0,358.0,0.9852662026575071,CPV
30,Cambodia,11.55,104.9167,348.0,0.0,306.0,42.0,0.0,KHM
31,Cameroon,3.848,11.5021,24752.0,443.0,23344.0,965.0,1.7897543632837751,CMR
32,Canada,60.00100000000001,-95.001,418848.0,12688.0,334375.0,71785.0,3.0292612117044846,CAN
33,Central African Republic,6.6111,20.9394,4922.0,63.0,1924.0,2935.0,1.2799674928890694,CAF
34,Chad,15.4542,18.7322,1725.0,102.0,1564.0,59.0,5.913043478260869,TCD
35,Chile,-35.6751,-71.543,560382.0,15628.0,534789.0,9965.0,2.7888119175847903,CHL
36,China,30.5928,114.3055,93577.0,4746.0,87331.0,1500.0,5.071759086100217,CHN
37,Colombia,4.5709,-74.2973,1371103.0,37808.0,1257410.0,75885.0,2.757487949483008,COL
38,Comoros,-11.6455,43.3333,616.0,7.0,600.0,9.0,1.1363636363636365,COM
39,Congo (Brazzaville),-0.228,15.8277,5774.0,94.0,4988.0,692.0,1.6279875303082785,COG
40,Congo (Kinshasa),-4.0383,21.7587,13527.0,344.0,11947.0,1236.0,2.543062024099948,COD
41,Costa Rica,9.7489,-83.7534,143685.0,1773.0,95789.0,46123.0,1.233949264015033,CRI
42,Cote d'Ivoire,7.54,-5.5471,21485.0,132.0,21109.0,244.0,0.6143821270653944,CIV
43,Croatia,45.1,15.2,150353.0,2174.0,124439.0,23740.0,1.4459305767094768,HRV
44,Cuba,21.521757,-77.78116700000002,8782.0,136.0,7963.0,683.0,1.5486221817353678,CUB
45,Cyprus,35.1264,33.4299,12451.0,61.0,2057.0,10333.0,0.4899204883141916,CYP
46,Czechia,49.8175,15.473,546833.0,8902.0,478094.0,59837.0,1.6279193099172873,CZE
47,Denmark,56.2639,9.5018,91131.0,885.0,71395.0,18851.0,0.9711294729565132,DNK
48,Diamond Princess,,,712.0,13.0,699.0,0.0,1.8258426966292132,
49,Djibouti,11.8251,42.5903,5701.0,61.0,5593.0,47.0,1.0699877214523767,DJI
50,Dominica,15.415,-61.371,85.0,0.0,72.0,13.0,0.0,DMA
51,Dominican Republic,18.7357,-70.1627,148453.0,2345.0,116873.0,29235.0,1.579624527628273,DOM
52,Ecuador,-1.8312,-78.1834,197998.0,13778.0,174188.0,10032.0,6.958656148041898,ECU
53,Egypt,26.820553000000004,30.802498,118432.0,6771.0,103501.0,8160.0,5.7172048095109425,EGY
54,El Salvador,13.7942,-88.8965,40131.0,1159.0,36525.0,2447.0,2.8880416635518675,SLV
55,Equatorial Guinea,1.6508,10.2679,5159.0,85.0,5023.0,51.0,1.6476061252180656,GNQ
56,Eritrea,15.1794,39.7823,632.0,0.0,508.0,124.0,0.0,ERI
57,Estonia,58.5953,25.0136,14978.0,131.0,8959.0,5888.0,0.8746161036186407,EST
58,Eswatini,-26.5225,31.4659,6501.0,122.0,6090.0,289.0,1.8766343639440088,SWZ
59,Ethiopia,9.145,40.4897,113295.0,1747.0,80831.0,30717.0,1.5419921444017834,ETH
60,Fiji,-17.7134,178.065,44.0,2.0,33.0,9.0,4.545454545454546,FJI
61,Finland,61.9241,25.7482,27631.0,415.0,18100.0,9116.0,1.5019362310448408,FIN
62,France,46.2276,2.2137,2345648.0,55247.0,175220.0,2115181.0,2.355297981623841,FRA
63,Gabon,-0.8037,11.6094,9254.0,60.0,9106.0,88.0,0.6483682731791658,GAB
64,Gambia,13.4432,-15.3101,3770.0,123.0,3615.0,32.0,3.2625994694960214,GMB
65,Georgia,42.3154,43.3569,162475.0,1504.0,133511.0,27460.0,0.9256808739806124,GEO
66,Germany,51.165691,10.451526,1184923.0,18989.0,868285.0,297649.0,1.6025513894151773,DEU
67,Ghana,7.9465,-1.0232,52274.0,325.0,51063.0,886.0,0.6217239928071316,GHA
68,Greece,39.0742,21.8243,115471.0,3003.0,23074.0,89394.0,2.6006529778039513,GRC
